PRISM Time Series Data
Location:  Lat: 29.4793   Lon: -98.4325   Elev: 218m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2023-04-25
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Apr-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1981-01-01,0.00,5.0,13.8,22.6,2.8,1.94,19.23
1981-01-02,0.00,4.3,13.2,22.2,1.9,1.78,19.71
1981-01-03,0.00,3.4,11.0,18.6,1.2,1.18,14.70
1981-01-04,0.00,5.4,13.5,21.5,7.7,0.83,13.04
1981-01-05,0.00,5.5,11.1,16.6,0.0,2.97,12.51
1981-01-06,1.05,7.9,11.0,14.0,8.0,0.51,5.14
1981-01-07,0.00,5.7,12.1,18.4,9.5,0.32,6.97
1981-01-08,0.23,3.5,9.7,15.9,0.8,1.22,12.16
1981-01-09,1.40,5.0,10.0,14.9,5.9,0.75,9.44
1981-01-10,0.00,9.9,13.3,16.8,8.8,1.40,6.93
1981-01-11,0.00,10.2,12.5,14.8,7.4,1.99,6.48
1981-01-12,0.00,5.5,10.5,15.4,4.8,2.03,7.52
1981-01-13,0.13,0.3,5.9,11.4,-1.5,0.85,8.21
1981-01-14,1.67,1.8,6.1,10.4,5.6,0.25,4.42
1981-01-15,0.00,2.4,10.3,18.1,1.2,0.63,15.15
1981-01-16,0.00,1.7,9.5,17.3,-0.6,1.30,14.01
1981-01-17,0.00,4.0,8.1,12.3,-1.0,2.40,8.25
1981-01-18,0.00,3.3,4.6,5.9,-7.5,4.36,5.83
1981-01-19,26.85,2.1,4.5,6.8,-3.2,0.67,6.17
1981-01-20,14.01,2.0,3.6,5.3,2.8,0.21,1.11
1981-01-21,0.00,3.0,10.9,18.8,3.4,0.58,14.69
1981-01-22,0.00,0.8,8.2,15.6,1.9,0.47,11.09
1981-01-23,0.00,0.7,8.6,16.4,0.9,0.59,12.76
1981-01-24,0.00,0.6,10.1,19.7,1.5,0.50,16.06
1981-01-25,0.00,2.0,12.9,23.9,2.6,0.91,22.62
1981-01-26,0.00,4.1,14.1,24.1,7.2,0.30,20.72
1981-01-27,0.00,10.8,14.9,19.0,12.8,0.32,4.83
1981-01-28,0.00,6.5,14.4,22.4,8.1,0.52,15.03
1981-01-29,0.00,6.9,15.6,24.3,12.0,0.40,17.85
1981-01-30,0.00,14.5,19.6,24.6,14.4,0.76,14.18
1981-01-31,0.00,8.2,12.5,16.9,4.5,1.92,10.26
1981-02-01,0.82,8.6,13.4,18.3,12.2,0.45,7.09
1981-02-02,0.00,-0.2,7.9,16.0,-3.0,1.65,13.72
1981-02-03,0.00,-2.6,4.3,11.3,-7.0,1.18,10.24
1981-02-04,8.58,-2.0,4.9,11.8,1.8,0.41,7.93
1981-02-05,11.60,7.6,8.8,10.0,8.1,0.02,0.46
1981-02-06,1.61,7.1,7.8,8.4,6.7,0.40,0.99
1981-02-07,0.00,7.2,8.6,10.1,7.5,0.40,2.05
1981-02-08,0.00,6.1,13.1,20.2,8.9,0.32,9.92
1981-02-09,0.00,5.9,10.7,15.5,7.8,0.31,6.38
1981-02-10,2.25,10.3,14.6,18.9,14.1,0.28,4.18
1981-02-11,0.00,-6.2,9.5,25.2,0.4,0.38,22.72
1981-02-12,0.00,-6.5,-0.8,4.9,-12.4,1.34,6.52
1981-02-13,0.54,-4.4,2.7,9.8,-1.6,0.52,6.30
1981-02-14,0.00,2.9,5.4,8.0,1.3,0.89,4.48
1981-02-15,0.00,4.2,9.8,15.4,2.3,0.84,10.69
1981-02-16,0.00,2.8,10.8,18.7,3.7,0.59,13.26
1981-02-17,0.00,5.2,12.5,19.8,7.6,0.37,12.38
1981-02-18,0.00,9.8,15.3,20.8,11.8,0.63,10.85
1981-02-19,0.00,15.6,19.4,23.1,15.6,0.47,10.71
1981-02-20,0.00,10.0,17.4,24.8,13.4,0.11,15.03
1981-02-21,0.00,10.8,18.3,25.8,15.3,0.23,17.14
1981-02-22,0.00,9.7,18.3,26.9,10.6,1.03,18.91
1981-02-23,0.00,3.0,12.2,21.3,-2.4,2.17,21.10
1981-02-24,0.00,3.2,14.0,24.8,0.2,1.36,25.65
1981-02-25,0.33,3.9,14.1,24.4,10.4,0.61,19.05
1981-02-26,1.09,16.2,17.9,19.5,16.4,0.40,2.84
1981-02-27,0.00,17.6,21.0,24.4,17.5,0.41,10.85
1981-02-28,0.00,18.5,21.4,24.4,17.4,0.58,11.02
1981-03-01,8.68,15.3,19.9,24.6,17.3,0.30,10.09
1981-03-02,2.38,12.3,14.6,16.8,13.1,0.26,3.83
1981-03-03,4.77,12.1,14.5,16.9,13.4,0.12,3.18
1981-03-04,6.20,14.6,17.9,21.1,17.0,0.14,4.23
1981-03-05,0.00,11.9,18.5,25.1,4.7,1.48,25.16
1981-03-06,0.00,9.3,15.6,22.0,6.2,2.09,17.58
1981-03-07,0.81,9.7,14.1,18.4,10.8,1.27,8.36
1981-03-08,0.18,10.9,17.4,23.8,9.5,0.90,20.77
1981-03-09,0.00,8.0,14.1,20.2,8.5,0.47,12.34
1981-03-10,0.00,7.5,12.6,17.7,6.9,1.10,9.66
1981-03-11,7.12,8.8,13.1,17.3,8.5,1.17,9.03
1981-03-12,10.25,10.6,12.2,13.9,9.6,0.72,3.47
1981-03-13,11.77,10.0,10.9,11.8,9.3,0.66,2.15
1981-03-14,0.00,7.8,14.3,20.8,9.1,0.55,12.93
1981-03-15,0.00,8.7,15.0,21.3,11.8,0.62,11.70
1981-03-16,0.00,12.0,19.0,25.9,8.3,1.59,24.88
1981-03-17,0.00,7.7,14.8,21.9,5.4,1.49,18.54
1981-03-18,0.00,8.3,16.2,24.1,8.0,1.41,18.34
1981-03-19,0.00,3.8,13.0,22.1,-1.3,3.51,20.13
1981-03-20,0.00,3.8,12.2,20.6,-2.6,2.20,20.22
1981-03-21,0.22,5.1,13.4,21.8,7.6,0.77,17.28
1981-03-22,0.00,11.2,19.2,27.2,5.8,0.91,27.26
1981-03-23,0.00,4.9,13.2,21.4,4.4,1.31,16.50
1981-03-24,0.00,4.7,12.4,20.2,4.6,1.06,14.88
1981-03-25,0.00,6.1,14.4,22.6,6.8,0.77,17.95
1981-03-26,0.38,9.1,16.0,23.0,12.2,0.59,12.94
1981-03-27,0.00,15.5,20.9,26.2,14.6,1.62,18.45
1981-03-28,0.00,17.9,20.9,24.0,16.1,2.67,10.87
1981-03-29,3.26,14.2,20.6,27.1,16.6,1.70,14.12
1981-03-30,0.00,7.9,17.9,28.0,5.0,2.04,31.58
1981-03-31,0.00,8.7,20.0,31.2,7.6,1.02,35.86
1981-04-01,0.00,14.1,20.8,27.6,15.7,0.41,19.01
1981-04-02,0.00,11.7,20.7,29.7,9.2,1.39,33.05
1981-04-03,0.00,17.2,20.2,23.2,19.1,1.12,5.39
1981-04-04,0.00,18.4,24.6,30.8,19.1,1.30,21.01
1981-04-05,0.00,8.3,17.9,27.4,2.0,3.01,30.99
1981-04-06,0.00,8.8,17.0,25.2,3.9,3.27,24.22
1981-04-07,0.00,10.2,17.7,25.1,8.1,2.36,22.95
