date,WaterLevelElevation,PPT_mm,Tmin_deg,Tmean_deg,Tmax_deg,Tdmean_deg,vpdmin_hPa,vpdmax_hPa
1/1/1981,669.03,0,5,13.8,22.6,2.8,1.94,19.23
1/2/1981,669.09,0,4.3,13.2,22.2,1.9,1.78,19.71
1/3/1981,669.06,0,3.4,11,18.6,1.2,1.18,14.7
1/4/1981,668.98,0,5.4,13.5,21.5,7.7,0.83,13.04
1/5/1981,668.91,0,5.5,11.1,16.6,0,2.97,12.51
1/6/1981,668.76,1.05,7.9,11,14,8,0.51,5.14
1/7/1981,668.8,0,5.7,12.1,18.4,9.5,0.32,6.97
1/8/1981,668.69,0.23,3.5,9.7,15.9,0.8,1.22,12.16
1/9/1981,668.67,1.4,5,10,14.9,5.9,0.75,9.44
1/10/1981,668.74,0,9.9,13.3,16.8,8.8,1.4,6.93
1/11/1981,668.9,0,10.2,12.5,14.8,7.4,1.99,6.48
1/12/1981,668.85,0,5.5,10.5,15.4,4.8,2.03,7.52
1/13/1981,668.76,0.13,0.3,5.9,11.4,-1.5,0.85,8.21
1/14/1981,668.86,1.67,1.8,6.1,10.4,5.6,0.25,4.42
1/15/1981,668.6,0,2.4,10.3,18.1,1.2,0.63,15.15
1/16/1981,668.57,0,1.7,9.5,17.3,-0.6,1.3,14.01
1/17/1981,668.67,0,4,8.1,12.3,-1,2.4,8.25
1/18/1981,668.81,0,3.3,4.6,5.9,-7.5,4.36,5.83
1/19/1981,668.99,26.85,2.1,4.5,6.8,-3.2,0.67,6.17
1/20/1981,669.57,14.01,2,3.6,5.3,2.8,0.21,1.11
1/21/1981,669.68,0,3,10.9,18.8,3.4,0.58,14.69
1/22/1981,669.67,0,0.8,8.2,15.6,1.9,0.47,11.09
1/23/1981,669.84,0,0.7,8.6,16.4,0.9,0.59,12.76
1/24/1981,670.06,0,0.6,10.1,19.7,1.5,0.5,16.06
1/25/1981,670.15,0,2,12.9,23.9,2.6,0.91,22.62
1/26/1981,670.14,0,4.1,14.1,24.1,7.2,0.3,20.72
1/27/1981,669.89,0,10.8,14.9,19,12.8,0.32,4.83
1/28/1981,669.76,0,6.5,14.4,22.4,8.1,0.52,15.03
1/29/1981,669.62,0,6.9,15.6,24.3,12,0.4,17.85
1/30/1981,669.48,0,14.5,19.6,24.6,14.4,0.76,14.18
1/31/1981,669.77,0,8.2,12.5,16.9,4.5,1.92,10.26
2/1/1981,670.1,0.82,8.6,13.4,18.3,12.2,0.45,7.09
2/2/1981,669.85,0,-0.2,7.9,16,-3,1.65,13.72
2/3/1981,669.61,0,-2.6,4.3,11.3,-7,1.18,10.24
2/4/1981,669.64,8.58,-2,4.9,11.8,1.8,0.41,7.93
2/5/1981,669.89,11.6,7.6,8.8,10,8.1,0.02,0.46
2/6/1981,669.94,1.61,7.1,7.8,8.4,6.7,0.4,0.99
2/7/1981,670.34,0,7.2,8.6,10.1,7.5,0.4,2.05
2/8/1981,670.4,0,6.1,13.1,20.2,8.9,0.32,9.92
2/9/1981,670.4,0,5.9,10.7,15.5,7.8,0.31,6.38
2/10/1981,670.53,2.25,10.3,14.6,18.9,14.1,0.28,4.18
2/11/1981,669.92,0,-6.2,9.5,25.2,0.4,0.38,22.72
2/12/1981,669.84,0,-6.5,-0.8,4.9,-12.4,1.34,6.52
2/13/1981,669.67,0.54,-4.4,2.7,9.8,-1.6,0.52,6.3
2/14/1981,669.84,0,2.9,5.4,8,1.3,0.89,4.48
2/15/1981,670.16,0,4.2,9.8,15.4,2.3,0.84,10.69
2/16/1981,670.18,0,2.8,10.8,18.7,3.7,0.59,13.26
2/17/1981,669.96,0,5.2,12.5,19.8,7.6,0.37,12.38
2/18/1981,669.97,0,9.8,15.3,20.8,11.8,0.63,10.85
2/19/1981,669.9,0,15.6,19.4,23.1,15.6,0.47,10.71
2/20/1981,669.63,0,10,17.4,24.8,13.4,0.11,15.03
2/21/1981,669.8,0,10.8,18.3,25.8,15.3,0.23,17.14
2/22/1981,669.63,0,9.7,18.3,26.9,10.6,1.03,18.91
2/23/1981,669.72,0,3,12.2,21.3,-2.4,2.17,21.1
2/24/1981,669.21,0,3.2,14,24.8,0.2,1.36,25.65
2/25/1981,669.28,0.33,3.9,14.1,24.4,10.4,0.61,19.05
2/26/1981,669.57,1.09,16.2,17.9,19.5,16.4,0.4,2.84
2/27/1981,669.49,0,17.6,21,24.4,17.5,0.41,10.85
2/28/1981,669.51,0,18.5,21.4,24.4,17.4,0.58,11.02
3/1/1981,669.73,8.68,15.3,19.9,24.6,17.3,0.3,10.09
